,_id,MC_Entity,MC_EntityBB,MC_EntityShort,MC_EntityLong,MC_Address,MC_Telephone,MC_Telefax,MC_MembershipDate,MC_Holiday,MC_Category,MC_Category_Type,MC_WebSite,MC_SocialMedia,MC_eMail,MC_UNCorrespondenceLanguage
13,5ed5136868235a1f35484bf8,AZERBAIJAN,Azerbaijan,Azerbaijan,Republic of Azerbaijan,"Permanent Mission of the Republic
of Azerbaijan to the United Nations
633 Third Avenue, Suite 3210
New York, NY 10017","212-371-2559
212-371-2832",646-738-6143,3/2/1992,"Independence Day, 28 May",1,,un.mfa.gov.az,Twitter: @AzmissionUN,azerbaijan@un.int,English
1,5ed5136868235a1f35484bf9,BAHAMAS,Bahamas,Bahamas,Commonwealth of the Bahamas,"Permanent Mission of the Commonwealth
of the Bahamas to the United Nations
231 East 46th Street
New York, NY 10017","212-421-6925
212-421-6926
212-421-6929",212-759-2135,9/18/1973,"Independence Day, 10 July",1,,,,mission@bahamasny.com ,English
9,5ed5136868235a1f35484bfa,BAHRAIN,Bahrain,Bahrain,Kingdom of Bahrain,"Permanent Mission of the Kingdom
of Bahrain to the United Nations
866 Second Avenue, 14th and 15th Floors
New York, NY 10017",212-223-6200,"212-319-0687
212-223-6206",9/21/1971,16 December,1,,,,bahrain1@un.int,English
11,5ed5136868235a1f35484bfb,BANGLADESH,Bangladesh,Bangladesh,People's Republic of Bangladesh,"Permanent Mission of the People’s Republic
of Bangladesh to the United Nations
820 Second Avenue, 4th Floor
New York, NY 10017","212-867-3434
212-867-3437",212-972-4038,9/17/1974,"Independence Day, 26 March",1,,www.un.int/bangladesh,,"bangladesh@un.int
bdpmny@gmail.com",English
3,5ed5136868235a1f35484bfc,BARBADOS,Barbados,Barbados,Barbados,"Permanent Mission of Barbados
to the United Nations
820 Second Avenue, 9th Floor
New York, NY 10017",212-551-4300,646-329-6824,12/9/1966,30 November,1,,,,"prun@foreign.gov.bb
barbados@un.int",English
4,5ed5136868235a1f35484bfd,BELARUS,Belarus,Belarus,Republic of Belarus,"Permanent Mission of the Republic
of Belarus to the United Nations
136 East 67th Street, 4th Floor
New York, NY 10065",212-535-3420,212-734-4810,10/24/1945,"Independence Day, 3 July",1,,www.un.int/belarus,,usaun@mfa.gov.by,English
14,5ed5136868235a1f35484bfe,BELGIUM,Belgium,Belgium,Kingdom of Belgium,"Permanent Mission of Belgium
to the United Nations
One Dag Hammarskjöld Plaza
885 Second Avenue, 41st Floor
New York, NY 10017",212-378-6300,212-681-7618,12/27/1945,"National Day, 21 July",1,,www.diplomatie.be/newyorkun,,newyorkun@diplobel.fed.be,French
17,5ed5136868235a1f35484bff,BELIZE,Belize,Belize,Belize,"Permanent Mission of Belize
to the United Nations
675 Third Avenue, Suite 1911
New York, NY 10017
",212-986-1240,212-593-0932,9/25/1981,"Independence Day, 21 September",1,,,,"blzun@belizemission.com
blzun@aol.com",English
18,5ed5136868235a1f35484c00,BENIN,Benin,Benin,Republic of Benin,"Permanent Mission of the Republic
of Benin to the United Nations
355 Lexington Avenue, Unit 14B
New York, NY 10017",212-684-1339,646-790-3556,9/20/1960,1 August,1,,,,onu.newyork@gouv.bj/ beninewyork@gmail.com,French
12,5ed5136868235a1f35484c01,BHUTAN,Bhutan,Bhutan,Kingdom of Bhutan,"Permanent Mission of the Kingdom
of Bhutan to the United Nations
343 East 43rd Street
New York, NY 10017","212-682-2268
212-682-2312
212-682-2371
212-682-2752",212-661-0551,9/21/1971,"National Day, 17 December",1,,,,bhutanmission@pmbny.bt,English
6,5ed5136868235a1f35484c02,BOLIVIA (PLURINATIONAL STATE OF),Bolivia (Plurinational State of),Bolivia (Plurinational State of),Plurinational State of Bolivia   ,"Permanent Mission of Bolivia
to the United Nations
801 Second Avenue, 4th Floor, Suite 402
New York, NY 10017","212-682-8132
",212-687-4642,11/14/1945,"Independence Day, 6 August",1,,cancilleria.gob.bo,Twitter: @BoliviaUNNY,"missionboliviaun@gmail.com
",Spanish
0,5ed5136868235a1f35484c03,BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,"Permanent Mission of Bosnia and Herzegovina to the United Nations
211 East 43rd Street, Unit 1701
New York, NY 10017


",212-751-9015,212-751-9019,5/22/1992,"Independence Day, 1 March",1,,www.bhmissionun.org,,bihun@mvp.gov.ba,English
22,5ed5136868235a1f35484c04,BOTSWANA,Botswana,Botswana,Republic of Botswana,"Permanent Mission of Botswana
to the United Nations
154 East 46th Street
New York, NY 10017","212-889-2277
212-889-2331
212-889- 2491
212-889-2772",212-725-5061,10/17/1966,30 September,1,,,,botswana@un.int,English
36,5ed5136868235a1f35484c05,BRAZIL,Brazil,Brazil,Federative Republic of Brazil,"Permanent Mission of Brazil
to the United Nations
747 Third Avenue, 9th Floor
New York, NY 10017","212-372-2600
212-832-6868",212-371-5716,10/24/1945,"Independence Day, 7 September",1,,www.un.int/brazil,,distri.delbrasonu@itamaraty.gov.br,English
35,5ed5136868235a1f35484c06,BRUNEI DARUSSALAM,Brunei Darussalam,Brunei Darussalam,Negara Brunei Darussalam,"Permanent Mission of Brunei Darussalam
to the United Nations
771 United Nations Plaza
New York, NY 10017",212-697-3465,212-697-9889,9/21/1984,"National Day, 23 February",1,,,,brunei@un.int,English
38,5ed5136868235a1f35484c07,BULGARIA,Bulgaria,Bulgaria,Republic of Bulgaria,"Permanent Mission of the Republic
of Bulgaria to the United Nations
11 East 84th Street
New York, NY 10028","212-737-4790
212-737-4791",,12/14/1955,"Liberation Day, 3 March",1,,www.mfa.bg/embassies/usapr,,"bulgaria@un.int
mission.newyork@mfa.bg",English\French
29,5ed5136868235a1f35484c08,BURKINA FASO,Burkina Faso,Burkina Faso,Burkina Faso,"Permanent Mission of Burkina Faso
to the United Nations
633 Third Avenue, Suite 31A, 31st Floor
between 40th & 41st Streets
New York, NY 10017","212-308-4720
212-308-4721",212-308-4690,9/20/1960,11 December,1,,,,bfapm@un.int,French
42,5ed5136868235a1f35484c09,BURUNDI,Burundi,Burundi,Republic of Burundi,"Permanent Mission of the Republic
of Burundi to the United Nations
336 East 45th Street, 12th Floor
New York, NY 10017","212-499-0001
212-499-0002",212-499-0006,9/18/1962,"Independence Day, 1 July",1,,www.burundimission.org,,ambabunewyork@yahoo.fr,French
37,5ed5136868235a1f35484c0a,CABO VERDE,Cabo Verde,Cabo Verde,Republic of Cabo Verde,"Permanent Mission of the Republic
of Cabo Verde to the United Nations
27 East 69th Street
New York, NY 10021","212-472-0333
212-472-0334",,9/16/1975,5 July,1,,,,capeverde@un.int,French
41,5ed5136868235a1f35484c0b,CAMBODIA,Cambodia,Cambodia,Kingdom of Cambodia,"Permanent Mission of the Kingdom
of Cambodia to the United Nations
327 East 58th Street
New York, NY 10022",212-336-0777 ,212-759-7672,12/14/1955,"Independence Day, 9 November",1,,,,cambodia@un.int,English
44,5ed5136868235a1f35484c0c,CAMEROON,Cameroon,Cameroon,Republic of Cameroon,"Permanent Mission of the Republic
of Cameroon to the United Nations
22 East 73rd Street
New York, NY 10021","646-850-1824 Ext. 102 (Main line)
646-850-1827 Ext. 103 (Assistant to the Permanent Representative)",646-850-1820,9/20/1960,20 May,1,,,,cameroon.mission@yahoo.com ,French/English
34,5ed5136868235a1f35484c0d,CANADA,Canada,Canada,Canada,"Permanent Mission of Canada
to the United Nations
466 Lexington Avenue, 20th Floor
New York, NY 10017",212-848-1100,212-848-1195,11/9/1945,"Canada Day, 1 July",1,,www.un.int/canada,"Twitter: @CanadaUN (English)
Twitter: @CanadaONU (French)",canada.un@international.gc.ca,English/French
43,5ed5136868235a1f35484c0e,CENTRAL AFRICAN REPUBLIC,Central African Republic,Central African Republic,Central African Republic,"Permanent Mission of the Central African Republic
to the United Nations
369 Lexington Avenue, Suite 7A, 7th Floor
New York, NY 10017","646-870-0061
",,9/20/1960,1 December,1,,,,"repercaf.ny@gmail.com
",French
24,5ed5136868235a1f35484c0f,CHAD,Chad,Chad,Republic of Chad,"Permanent Mission of the Republic
of Chad to the United Nations
129 East 36th Street
New York, NY 10016","212-986-0980
212-986-0262",212-986-0152,9/20/1960,11 August,1,,,,chadmission.un@gmail.com ,French
31,5ed5136868235a1f35484c10,CHILE,Chile,Chile,Republic of Chile,"Permanent Mission of Chile
to the United Nations
One Dag Hammarskjöld Plaza
885 Second Avenue, 40th Floor
New York, NY 10017",917-322-6800,"917-322-6890
917-322-6891",10/24/1945,"National Day, 18 September",1,,chile.gob.cl/onu/en,Twitter: @ChileONU,chile.un@minrel.gob.cl,Spanish
40,5ed5136868235a1f35484c11,CHINA,China,China,People's Republic of China,"Permanent Mission of the People’s Republic
of China to the United Nations
350 East 35th Street
New York, NY 10016",212-655-6100,"212-634-7626 (General)
212-634-0042 (Permanent Representative's Office)
212-634-7625 (Political Section)
212-220-6543 (Press Section)",10/24/1945,"National Day, 1 October",1,,"http
//chnun.chinamission.org.cn/chn/",,chinesemission@yahoo.com,English
23,5ed5136868235a1f35484c12,COLOMBIA,Colombia,Colombia,Republic of Colombia,"Permanent Mission of Colombia
to the United Nations
140 East 57th Street, 5th Floor
New York, NY 10022",212-355-7776,212-371-2813,11/5/1945,"Independence Day, 20 July",1,,www.colombiaun.org/,,colombia@colombiaun.org,Spanish
26,5ed5136868235a1f35484c13,COMOROS,Comoros,Comoros,Union of the Comoros,"Permanent Mission of the Union
of the Comoros to the United Nations
866 United Nations Plaza, Suite 495
New York, NY 10017",212-750-1637,,11/12/1975,"Independence Day, 6 July",1,,www.un.int/comoros,,comoros@un.int,French
39,5ed5136868235a1f35484c14,CONGO,Congo,Congo,Republic of the Congo,"Permanent Mission of the Republic
of the Congo to the United Nations
600 Third Avenue, 2nd Floor
New York, NY 10016","212-744-7840,
646-517-2366",,9/20/1960,"National Day, 15 August",1,,,,cgbrazzadel60@gmail.com,French
30,5ed5136868235a1f35484c15,COSTA RICA,Costa Rica,Costa Rica,Republic of Costa Rica,"Permanent Mission of Costa Rica
to the United Nations
211 East 43rd Street, Suite 1002
New York, NY 10017",212-986-6373,,11/2/1945,"Independence Day, 15 September",1,,,,"contact.costaricamission@gmail.com
miscr-onu@rree.go.cr",Spanish
32,5ed5136868235a1f35484c17,CROATIA,Croatia,Croatia,Republic of Croatia,"Permanent Mission of the Republic
of Croatia to the United Nations
820 Second Avenue, 19th Floor
New York, NY 10017",212-986-1585,212-986-2011,5/22/1992,"Statehood Day, 30 May",1,,un.mfa.hr,,cromiss.un@mvep.hr,English
25,5ed5136868235a1f35484c18,CUBA,Cuba,Cuba,Republic of Cuba,"Permanent Mission of Cuba
to the United Nations
315 Lexington Avenue
New York, NY 10016","212-689-7215
212-689-7216
212-689-7217","212-779-1697
212-689-9073",10/24/1945,"Anniversary of the Revolution, 1 January",1,,www.cubadiplomatica.cu/onu,,cuba_onu@cubanmission.com,Spanish
33,5ed5136868235a1f35484c19,CYPRUS,Cyprus,Cyprus,Republic of Cyprus,"Permanent Mission of the Republic
of Cyprus to the United Nations
15 West 38th Street, 11th Floor
New York, NY 10018","212-481-6023
212-482-6025",,9/20/1960,"Independence Day, 1 October",1,,www.cyprusun.org,,unmission@mfa.gov.cy,English
28,5ed5136868235a1f35484c1a,CZECHIA,Czechia,Czechia,Czech Republic,"Permanent Mission of Czechia
to the United Nations
One Dag Hammarskjöld Plaza
885 Second Avenue, 48th Floor
New York, NY 10017",646-981-4001,646-981-4099,1/19/1993,28 October,1,,www.mfa.cz,,un.newyork@embassy.mzv.cz,English
27,5ed5136868235a1f35484c16,CÔTE D'IVOIRE,Côte D'Ivoire,Côte D'Ivoire,Republic of Côte d'Ivoire,"Permanent Mission of Côte d’Ivoire
to the United Nations
800 Second Avenue, 5th Floor
New York, NY 10017","646-649-5061
212-649-5986
646-781-9572
646-781-9523
646-861-3145",646-781-9974,9/20/1960,7 August,1,,,,cotedivoiremission@yahoo.com,French
98,5ed5136868235a1f35484c1b,DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,Democratic People's Republic of Korea,Democratic People's Republic of Korea,Democratic People's Republic of Korea,"Permanent Mission of the Democratic People’s Republic
of Korea to the United Nations
820 Second Avenue, Suite 13A
New York, NY 10017
","212-972-3105
212-972-3106",212-972-3154,9/17/1991,"Foundation Day of the Democratic\rPeople's Republic of Korea, 9 September",1,,,,dprk.un@verizon.net,English
45,5ed5136868235a1f35484c1c,DEMOCRATIC REPUBLIC OF THE CONGO,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,"Permanent Mission of the Democratic Republic
of the Congo to the United Nations
866 United Nations Plaza, Suite 511
New York, NY 10017",212-319-8061,212-319-8232,9/20/1960,"Independence Day, 30 June",1,,www.un.int/drcongo,,missiondrc@gmail.com,French
93,5ed5136868235a1f35484c1d,DENMARK,Denmark,Denmark,Kingdom of Denmark,"Permanent Mission of Denmark
to the United Nations
Chrysler East Building
666 Third Avenue, 11th Floor
New York, NY 10017",212-308-7009,,10/24/1945,"Birthday of the Queen, 16 April",1,,www.fnnewyork.um.dk/en,,nycmis@um.dk,English
48,5ed5136868235a1f35484c1e,DJIBOUTI,Djibouti,Djibouti,Republic of Djibouti,"Permanent Mission of the Republic
of Djibouti to the United Nations
866 United Nations Plaza, Suite 4011
New York, NY 10017",212-753-3163,"212-223-1276
212-758-1056",9/20/1977,27 June,1,,www.un.int/djibouti,,djibouti@nyct.net,French
137,5ed5136868235a1f35484c1f,DOMINICA,Dominica,Dominica,Commonwealth of Dominica,"Permanent Mission of the Commonwealth
of Dominica to the United Nations
685 Third Avenue, Suite 1110
New York, NY 10017",212-949-0853,"212-808-4975
212-661-0979",12/18/1978,3 November,1,,,,dominicaun@gmail.com,English
99,5ed5136868235a1f35484c20,DOMINICAN REPUBLIC,Dominican Republic,Dominican Republic,Dominican Republic,"Permanent Mission of the Dominican Republic to the United Nations
144 East 44th Street, 4th Floor
New York, NY 10017","212-867-0833
212-867-0834
212-661-2432",212-986-4694,10/24/1945,"Independence Day, 27 February",1,,,,drun@un.int,Spanish
61,5ed5136868235a1f35484c21,ECUADOR,Ecuador,Ecuador,Republic of Ecuador,"Permanent Mission of Ecuador
to the United Nations
801 Second Avenue, 9th Floor
New York, NY 10017","212-935-1680
212-935-1681",212-935-1835,12/21/1945,"Independence Day, 10 August",1,,www.un.int/ecuador,,ecuador@un.int,Spanish
121,5ed5136868235a1f35484c22,EGYPT,Egypt,Egypt,Arab Republic of Egypt,"Permanent Mission of the Arab Republic
of Egypt to the United Nations
304 East 44th Street
New York, NY 10017",212-503-0300,212-949-5999,10/24/1945,"National Day, 23 July",1,,,,mission.egypt@un.int,English
72,5ed5136868235a1f35484c23,EL SALVADOR,El Salvador,El Salvador,Republic of El Salvador,"Permanent Mission of El Salvador
to the United Nations
46 Park Avenue
New York, NY 10016","212-679-1616
212-679-1617",212-725-3467,10/24/1945,"Independence Day, 15 September",1,,,,elsalvador@un.int,Spanish
46,5ed5136868235a1f35484c24,EQUATORIAL GUINEA,Equatorial Guinea,Equatorial Guinea,Republic of Equatorial Guinea,"Permanent Mission of Equatorial Guinea
to the United Nations
800 Second Avenue, Suite 305
New York, NY 10017",212-223-2324,212-223-2366,11/12/1968,"Independence Day, 12 October",1,,"http
//equatorialguineaun.org",,info@equatorialguineaun.org,Spanish
122,5ed5136868235a1f35484c25,ERITREA,Eritrea,Eritrea,State of Eritrea,"Permanent Mission of Eritrea
to the United Nations
800 Second Avenue, 18th Floor
New York, NY 10017",212-687-3390,212-687-3138,5/28/1993,"Independence Day, 24 May",1,,www.eritrea-unmission.org,,general@eritreaun.org,English
145,5ed5136868235a1f35484c26,ESTONIA,Estonia,Estonia,Republic of Estonia,"Permanent Mission of the Republic
of Estonia to the United Nations
3 Dag Hammarskjöld Plaza
305 East 47th Street, Unit 6B
New York, NY 10017",212-883-0640,646-514-0099,9/17/1991,"Independence Day, 24 February",1,,un.mfa.ee,,mission.newyork@mfa.ee,English
49,5ed5136868235a1f35484c27,ESWATINI,Eswatini,Eswatini,Kingdom of Eswatini,"Permanent Mission of the Kingdom
of Eswatini to the United Nations
408 East 50th Street
New York, NY 10022","212-371-8910
212-371-8911
212-371-8775
917-517-0589 (mobile) ",212-754-2755,9/24/1968,"Independence Day, 6 September",1,,,,"eswatini@un.int
eswatinimissionunny@yahoo.com",English
107,5ed5136868235a1f35484c28,ETHIOPIA,Ethiopia,Ethiopia,Federal Democratic Republic of Ethiopia,"Permanent Mission of the Federal Democratic Republic
of Ethiopia to the United Nations
866 Second Avenue, Third Floor
New York, NY 10017

Extension office as of 1 June 2016

801 Second Avenue, 13th Floor
New York, NY 10017","212-421-1830
646-518-5900",646-756-4690,11/13/1945,28 May,1,,,,ethiopia@un.int,English
138,5ed5136868235a1f35484c29,FIJI,Fiji,Fiji,Republic of Fiji,"Permanent Mission of the Republic
of Fiji to the United Nations
801 Second Avenue, 20th Floor
New York, NY 10017",212-687-4130,212-687-3963,10/13/1970,10 October,1,,,,mission@fijiprun.org,English
131,5ed5136868235a1f35484c2a,FINLAND,Finland,Finland,Republic of Finland,"Permanent Mission of Finland
to the United Nations
605 Third Avenue, 35th Floor
New York, NY 10158",212-355-2100,212-759-6156,12/14/1955,"Independence Day, 6 December",1,,www.finlandun.org,Twitter: @FinlandUN,sanomat.yke@formin.fi,English
115,5ed5136868235a1f35484c2b,FRANCE,France,France,Republic of France,"Permanent Mission of France
to the United Nations
One Dag Hammarskjöld Plaza
245 East 47th Street, 44th Floor
New York, NY 10017",212-702-4900,,10/24/1945,"National Day, 14 July",1,,,,france@franceonu.org,French
141,5ed5136868235a1f35484c2c,GABON,Gabon,Gabon,Gabonese Republic,"Permanent Mission of the Gabonese
Republic to the United Nations
244 East 58th Street
New York, NY 10022",212-686-9720,917-675-7485,9/20/1960,17 August,1,,,,info@gabonunmission.com,French
123,5ed5136868235a1f35484c2d,GAMBIA,Gambia,Gambia,Republic of The Gambia,"Permanent Mission of The Gambia
to the United Nations
336 East 45th Street, 7th Floor
New York, NY 10017",212-949-6640,212-856-9820,9/21/1965,18 February,1,,,,gambia_un@hotmail.com,English
78,5ed5136868235a1f35484c2e,GEORGIA,Georgia,Georgia,Georgia,"Permanent Mission of Georgia
to the United Nations
One United Nations Plaza, 26th Floor
New York, NY 10017",212-759-1949,212-759-1832,7/21/1992,"Independence Day, 26 May",1,,www.un.int/georgia,,geomission.un@mfa.gov.ge,English
146,5ed5136868235a1f35484c2f,GERMANY,Germany,Germany,Federal Republic of Germany,"Permanent Mission of Germany
to the United Nations
871 United Nations Plaza
New York, NY 10017",212-940-0400,"212-940-0402 (General)
212-040-0403 (Political Section)
212-940-0404 (Economic Section)
212-610-9709 (Administrative)",9/18/1973,3 October,1,,,,info@new-york-un.diplo.de,English
60,5ed5136868235a1f35484c30,GHANA,Ghana,Ghana,Republic of Ghana,"Permanent Mission of Ghana
to the United Nations
19 East 47th Street
New York, NY 10017",212-832-1302,212-751-6743,3/8/1957,"Independence Day, 6 March",1,,,,ghanaperm@aol.com,English
139,5ed5136868235a1f35484c31,GREECE,Greece,Greece,Hellenic Republic,"Permanent Mission of Greece
to the United Nations
866 Second Avenue, 13th Floor
New York, NY 10017-2905","212-888-6900
212-479-1300",212-888-4440,10/25/1945,"Independence Day, 25 March",1,,www.mfa.gr/un,,grdel.un@mfa.gr,English
84,5ed5136868235a1f35484c32,GRENADA,Grenada,Grenada,Grenada,"Permanent Mission of Grenada
to the United Nations
685 Third Avenue, Suite 1101
New York, NY 10017",212-599-0301 Ext. 254,212-599-1540,9/17/1974,"Independence Day, 7 February",1,,www.grenadamissiontotheun.org,,grenada@un.int,English
153,5ed5136868235a1f35484c33,GUATEMALA,Guatemala,Guatemala,Republic of Guatemala,"Permanent Mission of Guatemala
to the United Nations
57 Park Avenue
New York, NY 10016",212-679-4760,212-685-8741,11/21/1945,"Independence Day, 15 September",1,,www.guatemalaun.org,,onunewyork@minex.gob.gt,Spanish
85,5ed5136868235a1f35484c34,GUINEA,Guinea,Guinea,Republic of Guinea,"Permanent Mission of the Republic
of Guinea to the United Nations
140 East 39th Street
New York, NY 10016",212-687-8115,212-687-8248,12/12/1958,"Independence Day, 2 October",1,,,,missionofguinea.un@gmail.com,French
86,5ed5136868235a1f35484c35,GUINEA-BISSAU,Guinea-Bissau,Guinea-Bissau,Republic of Guinea-Bissau,"Permanent Mission of the Republic
of Guinea-Bissau to the United Nations
336 East 45th Street, 13th Floor
New York, NY 10017",646-590-3474; 646-678-4034,212-896-8313,9/17/1974,24 September,1,,,,"guinebissauonu@gmail.com
guinea-bissau@un.int ",French
154,5ed5136868235a1f35484c36,GUYANA,Guyana,Guyana,Co-operative Republic of Guyana,"Permanent Mission of the 
Co-operative Republic
of Guyana to the United Nations
801 Second Avenue, 5th Floor
New York, NY 10017","212-573-5828
212-573-5829",212-573-6225,9/20/1966,23 February,1,,www.un.int/guyana,,guyana@un.int,English
100,5ed5136868235a1f35484c37,HAITI,Haiti,Haiti,Republic of Haiti,"Permanent Mission of Haiti
to the United Nations
228 East 45th Street, 10th Floor
New York, NY 10017",212-370-4840,212-661-8698,10/24/1945,"Independence Day, 1 January",1,,,,mphonu.newyork@diplomatie.ht ,French
175,5ed5136868235a1f35484caf,HOLY SEE,Holy See,Holy See,The Holy See,"Permanent Observer Mission of the Holy See
to the United Nations
25 East 39th Street
New York, NY 10016-0903",212-370-7885,212-370-9622,,"Anniversary of the Pontificate of His Holiness Pope Francis, 13 March",2,,www.holyseemission.org,,office@holyseemission.org,English/French
50,5ed5136868235a1f35484c38,HONDURAS,Honduras,Honduras,The Republic of Honduras,"Permanent Mission of Honduras
to the United Nations
866 United Nations Plaza, Suite 417
New York, NY 10017
","212-752-3370
212-752-3371",212-223-0498,12/17/1945,"Independence Day, 15 September",1,,www.un.int/honduras,,Ny.honduras@hnun.org,Spanish
94,5ed5136868235a1f35484c39,HUNGARY,Hungary,Hungary,Hungary,"Permanent Mission of Hungary
to the United Nations
227 East 52nd Street
New York, NY 10022-6301",212-752-0209,212-755-5395,12/14/1955,23 October,1,,un-newyork.mfa.gov.hu,,hungaryun.ny@mfa.gov.hu,English
140,5ed5136868235a1f35484c3a,ICELAND,Iceland,Iceland,Iceland,"Permanent Mission of Iceland
to the United Nations
733 Third Avenue, 18th Floor
New York, NY 10017","212-593-2700
646-282-9370",None (email only),11/19/1946,"Anniversary of the Establishment of the Republic, 17 June",1,,,,unmission@mfa.is,English
108,5ed5136868235a1f35484c3b,INDIA,India,India,Republic of India,"Permanent Mission of India
to the United Nations
235 East 43rd Street
New York, NY 10017","212-490-9660
212-490-9661",212-490-9656,10/30/1945,"Anniversary of the Proclamation of the Republic, 26 January",1,,,,india.newyorkpmi@mea.gov.in,English
73,5ed5136868235a1f35484c3c,INDONESIA,Indonesia,Indonesia,Republic of Indonesia,"Permanent Mission of the Republic
of Indonesia to the United Nations
325 East 38th Street
New York, NY 10016",212-972-8333,212-972-9780,9/28/1950,"Independence Day, 17 August",1,,newyork-un.kemlu.go.id,,ptri@indonesiamission-ny.org,English
47,5ed5136868235a1f35484c3d,IRAN (ISLAMIC REPUBLIC OF),Iran (Islamic Republic of),Iran (Islamic Republic of),Islamic Republic of Iran,"Permanent Mission of the Islamic Republic
of Iran to the United Nations
622 Third Avenue, 34th Floor
New York, NY 10017",212-687-2020,212-867-7086,10/24/1945,11 February,1,,"http
//newyork.mfa.ir/",,Iran@un.int,English
77,5ed5136868235a1f35484c3e,IRAQ,Iraq,Iraq,Republic of Iraq,"Permanent Mission of Iraq
to the United Nations
14 East 79th Street
New York, NY 10075",212-737-4433,,12/21/1945,,1,,,,iraq.mission@un.int,English
62,5ed5136868235a1f35484c3f,IRELAND,Ireland,Ireland,Ireland,"Permanent Mission of Ireland
to the United Nations
885 Second Avenue, 21st Floor
New York, NY 10017",212-421-6934,,12/14/1955,"St. Patrick's Day, 17 March",1,,www.dfa.ie/pmun/newyork/,Twitter: @irishmissionun,newyorkpmun@dfa.ie,English
57,5ed5136868235a1f35484c40,ISRAEL,Israel,Israel,State of Israel,"Permanent Mission of Israel
to the United Nations
800 Second Avenue
New York, NY 10017",212-499-5344,212-499-5515,5/11/1949,"Independence Day, 5 May (2022)",1,,embassies.gov.il/un,,uninfo@newyork.mfa.gov.il,English
