Aboultaif, Ziad, ziad.aboultaif@parl.gc.ca, Conservative, Edmonton Manning, Alberta, 
Gaudreau, Marie-Hélène, MH.Gaudreau@parl.gc.ca, Bloc Québécois, Laurentides—Labelle, Quebec, 
Gazan, Leah, Leah.Gazan@parl.gc.ca, NDP, Winnipeg Centre, Manitoba, 
Généreux, Bernard, bernard.genereux@parl.gc.ca, Conservative, Montmagny—L'Islet—Kamouraska—Rivière-du-Loup, Quebec, 
Genuis, Garnett, garnett.genuis@parl.gc.ca, Conservative, Sherwood Park—Fort Saskatchewan, Alberta, 
Gerretsen, Mark, mark.gerretsen@parl.gc.ca, Liberal, Kingston and the Islands, Ontario, 
Gill, Marilène, marilene.gill@parl.gc.ca, Bloc Québécois, Manicouagan, Quebec, 
Gladu, Marilyn, marilyn.gladu@parl.gc.ca, Conservative, Sarnia—Lambton, Ontario, 
Godin, Joël, joel.godin@parl.gc.ca, Conservative, Portneuf—Jacques-Cartier, Quebec, 
Goodridge, Laila, laila.goodridge@parl.gc.ca, Conservative, Fort McMurray—Cold Lake, Alberta, 
Gould, Hon. Karina, karina.gould@parl.gc.ca, Liberal, Burlington, Ontario, 
Gourde, Jacques, jacques.gourde@parl.gc.ca, Conservative, Lévis—Lotbinière, Quebec, 
Gray, Tracy, Tracy.Gray@parl.gc.ca, Conservative, Kelowna—Lake Country, British Columbia, 
Green, Matthew, Matthew.Green@parl.gc.ca, NDP, Hamilton Centre, Ontario, 
Guilbeault, Hon. Steven, Steven.Guilbeault@parl.gc.ca, Liberal, Laurier—Sainte-Marie, Quebec, 
Hajdu, Hon. Patty, patty.hajdu@parl.gc.ca, Liberal, Thunder Bay—Superior North, Ontario, 
Hallan, Jasraj Singh, JasrajSingh.Hallan@parl.gc.ca, Conservative, Calgary Forest Lawn, Alberta, 
Hanley, Brendan, brendan.hanley@parl.gc.ca, Liberal, Yukon, Yukon, 
Hardie, Ken, ken.hardie@parl.gc.ca, Liberal, Fleetwood—Port Kells, British Columbia, 
Hepfner, Lisa, lisa.hepfner@parl.gc.ca, Liberal, Hamilton Mountain, Ontario, 
Hoback, Randy, randy.hoback@parl.gc.ca, Conservative, Prince Albert, Saskatchewan, 
Holland, Hon. Mark, mark.holland@parl.gc.ca, Liberal, Ajax, Ontario, 
Housefather, Anthony, anthony.housefather@parl.gc.ca, Liberal, Mount Royal, Quebec, 
Hughes, Carol, carol.hughes@parl.gc.ca, NDP, Algoma—Manitoulin—Kapuskasing, Ontario, 
Hussen, Hon. Ahmed, ahmed.hussen@parl.gc.ca, Liberal, York South—Weston, Ontario, 
Hutchings, Hon. Gudie, gudie.hutchings@parl.gc.ca, Liberal, Long Range Mountains, Newfoundland and Labrador, 
Iacono, Angelo, angelo.iacono@parl.gc.ca, Liberal, Alfred-Pellan, Quebec, 
Idlout, Lori, lori.idlout@parl.gc.ca, NDP, Nunavut, Nunavut, 
Ien, Hon. Marci, marci.ien@parl.gc.ca, Liberal, Toronto Centre, Ontario, 
Jaczek, Hon. Helena, Helena.Jaczek@parl.gc.ca, Liberal, Markham—Stouffville, Ontario, 
Jeneroux, Matt, matt.jeneroux@parl.gc.ca, Conservative, Edmonton Riverbend, Alberta, 
Johns, Gord, gord.johns@parl.gc.ca, NDP, Courtenay—Alberni, British Columbia, 
Joly, Hon. Mélanie, melanie.joly@parl.gc.ca, Liberal, Ahuntsic-Cartierville, Quebec, 
Jones, Yvonne, yvonne.jones@parl.gc.ca, Liberal, Labrador, Newfoundland and Labrador, 
Jowhari, Majid, majid.jowhari@parl.gc.ca, Liberal, Richmond Hill, Ontario, 
Julian, Peter, peter.julian@parl.gc.ca, NDP, New Westminster—Burnaby, British Columbia, 
Kayabaga, Arielle, arielle.kayabaga@parl.gc.ca, Liberal, London West, Ontario, 
Kelloway, Mike, Mike.Kelloway@parl.gc.ca, Liberal, Cape Breton—Canso, Nova Scotia, 
Kelly, Pat, pat.kelly@parl.gc.ca, Conservative, Calgary Rocky Ridge, Alberta, 
Khalid, Iqra, iqra.khalid@parl.gc.ca, Liberal, Mississauga—Erin Mills, Ontario, 
Khera, Hon. Kamal, kamal.khera@parl.gc.ca, Liberal, Brampton West, Ontario, 
Kitchen, Robert, robert.kitchen@parl.gc.ca, Conservative, Souris—Moose Mountain, Saskatchewan, 
Kmiec, Tom, tom.kmiec@parl.gc.ca, Conservative, Calgary Shepard, Alberta, 
Koutrakis, Annie, Annie.Koutrakis@parl.gc.ca, Liberal, Vimy, Quebec, 
Kram, Michael, Michael.Kram@parl.gc.ca, Conservative, Regina—Wascana, Saskatchewan, 
Kramp-Neuman, Shelby, shelby.kramp-neuman@parl.gc.ca, Conservative, Hastings—Lennox and Addington, Ontario, 
Kurek, Damien C., Damien.Kurek@parl.gc.ca, Conservative, Battle River—Crowfoot, Alberta, 
Kusie, Stephanie, stephanie.kusie@parl.gc.ca, Conservative, Calgary Midnapore, Alberta, 
Kusmierczyk, Irek, Irek.Kusmierczyk@parl.gc.ca, Liberal, Windsor—Tecumseh, Ontario, 
Kwan, Jenny, jenny.kwan@parl.gc.ca, NDP, Vancouver East, British Columbia, 
Lake, Hon. Mike, mike.lake@parl.gc.ca, Conservative, Edmonton—Wetaskiwin, Alberta, 
Lalonde, Marie-France, Marie-France.Lalonde@parl.gc.ca, Liberal, Orléans, Ontario, 
Lambropoulos, Emmanuella, emmanuella.lambropoulos@parl.gc.ca, Liberal, Saint-Laurent, Quebec, 
Lametti, Hon. David, david.lametti@parl.gc.ca, Liberal, LaSalle—Émard—Verdun, Quebec, 
Lamoureux, Kevin, kevin.lamoureux@parl.gc.ca, Liberal, Winnipeg North, Manitoba, 
Lantsman, Melissa, melissa.lantsman@parl.gc.ca, Conservative, Thornhill, Ontario, 
Lapointe, Viviane, viviane.lapointe@parl.gc.ca, Liberal, Sudbury, Ontario, 
Larouche, Andréanne, Andreanne.Larouche@parl.gc.ca, Bloc Québécois, Shefford, Quebec, 
Lattanzio, Patricia, Patricia.Lattanzio@parl.gc.ca, Liberal, Saint-Léonard—Saint-Michel, Quebec, 
Lauzon, Stéphane, stephane.lauzon@parl.gc.ca, Liberal, Argenteuil—La Petite-Nation, Quebec, 
Lawrence, Philip, Philip.Lawrence@parl.gc.ca, Conservative, Northumberland—Peterborough South, Ontario, 
LeBlanc, Hon. Dominic, dominic.leblanc@parl.gc.ca, Liberal, Beauséjour, New Brunswick, 
Lebouthillier, Hon. Diane, diane.lebouthillier@parl.gc.ca, Liberal, Gaspésie—Les Îles-de-la-Madeleine, Quebec, 
Lehoux, Richard, Richard.Lehoux@parl.gc.ca, Conservative, Beauce, Quebec, 
Lemire, Sébastien, Sebastien.Lemire@parl.gc.ca, Bloc Québécois, Abitibi—Témiscamingue, Quebec, 
Lewis, Chris, Chris.Lewis@parl.gc.ca, Conservative, Essex, Ontario, 
Lewis, Leslyn, leslyn.lewis@parl.gc.ca, Conservative, Haldimand—Norfolk, Ontario, 
Liepert, Ron, ron.liepert@parl.gc.ca, Conservative, Calgary Signal Hill, Alberta, 
Lightbound, Joël, joel.lightbound@parl.gc.ca, Liberal, Louis-Hébert, Quebec, 
Lloyd, Dane, Dane.Lloyd@parl.gc.ca, Conservative, Sturgeon River—Parkland, Alberta, 
Lobb, Ben, ben.lobb@parl.gc.ca, Conservative, Huron—Bruce, Ontario, 
Long, Wayne, wayne.long@parl.gc.ca, Liberal, Saint John—Rothesay, New Brunswick, 
Longfield, Lloyd, lloyd.longfield@parl.gc.ca, Liberal, Guelph, Ontario, 
Louis, Tim, Tim.Louis@parl.gc.ca, Liberal, Kitchener—Conestoga, Ontario, 
MacAulay, Hon. Lawrence, lawrence.macaulay@parl.gc.ca, Liberal, Cardigan, Prince Edward Island, 
MacDonald, Heath, heath.macdonald@parl.gc.ca, Liberal, Malpeque, Prince Edward Island, 
MacGregor, Alistair, alistair.macgregor@parl.gc.ca, NDP, Cowichan—Malahat—Langford, British Columbia, 
MacKenzie, Dave, dave.mackenzie@parl.gc.ca, Conservative, Oxford, Ontario, 
MacKinnon, Hon. Steven, Steven.MacKinnon@parl.gc.ca, Liberal, Gatineau, Quebec, 
Maguire, Larry, larry.maguire@parl.gc.ca, Conservative, Brandon—Souris, Manitoba, 
Maloney, James, james.maloney@parl.gc.ca, Liberal, Etobicoke—Lakeshore, Ontario, 
Martel, Richard, Richard.Martel@parl.gc.ca, Conservative, Chicoutimi—Le Fjord, Quebec, 
Martinez Ferrada, Soraya, Soraya.MartinezFerrada@parl.gc.ca, Liberal, Hochelaga, Quebec, 
Masse, Brian, brian.masse@parl.gc.ca, NDP, Windsor West, Ontario, 
Mathyssen, Lindsay, Lindsay.Mathyssen@parl.gc.ca, NDP, London—Fanshawe, Ontario, 
May, Bryan, bryan.may@parl.gc.ca, Liberal, Cambridge, Ontario, 
May, Elizabeth, elizabeth.may@parl.gc.ca, Green Party, Saanich—Gulf Islands, British Columbia, 
Mazier, Dan, Dan.Mazier@parl.gc.ca, Conservative, Dauphin—Swan River—Neepawa, Manitoba, 
McCauley, Kelly, kelly.mccauley@parl.gc.ca, Conservative, Edmonton West, Alberta, 
McDonald, Ken, ken.mcdonald@parl.gc.ca, Liberal, Avalon, Newfoundland and Labrador, 
McGuinty, Hon. David J., david.mcguinty@parl.gc.ca, Liberal, Ottawa South, Ontario, 
McKay, Hon. John, john.mckay@parl.gc.ca, Liberal, Scarborough—Guildwood, Ontario, 
McKinnon, Ron, ron.mckinnon@parl.gc.ca, Liberal, Coquitlam—Port Coquitlam, British Columbia, 
McLean, Greg, greg.mclean@parl.gc.ca, Conservative, Calgary Centre, Alberta, 
McLeod, Michael V., michael.mcleod@parl.gc.ca, Liberal, Northwest Territories, Northwest Territories, 
McPherson, Heather, Heather.McPherson@parl.gc.ca, NDP, Edmonton Strathcona, Alberta, 
Melillo, Eric, Eric.Melillo@parl.gc.ca, Conservative, Kenora, Ontario, 
Mendès, Alexandra, alexandra.mendes@parl.gc.ca, Liberal, Brossard—Saint-Lambert, Quebec, 
Mendicino, Hon. Marco, marco.mendicino@parl.gc.ca, Liberal, Eglinton—Lawrence, Ontario, 
Miao, Wilson, wilson.miao@parl.gc.ca, Liberal, Richmond Centre, British Columbia, 
Michaud, Kristina, Kristina.Michaud@parl.gc.ca, Bloc Québécois, Avignon—La Mitis—Matane—Matapédia, Quebec, 
Miller, Hon. Marc, Marc.Miller@parl.gc.ca, Liberal, Ville-Marie—Le Sud-Ouest—Île-des-Soeurs, Quebec, 
Moore, Hon. Rob, Rob.Moore@parl.gc.ca, Conservative, Fundy Royal, New Brunswick, 
Morantz, Marty, Marty.Morantz@parl.gc.ca, Conservative, Charleswood—St. James—Assiniboia—Headingley, Manitoba, 
Morrice, Mike, mike.morrice@parl.gc.ca, Green Party, Kitchener Centre, Ontario, 
Morrison, Rob, Rob.Morrison@parl.gc.ca, Conservative, Kootenay—Columbia, British Columbia, 
Morrissey, Robert J., robert.morrissey@parl.gc.ca, Liberal, Egmont, Prince Edward Island, 
Motz, Glen, glen.motz@parl.gc.ca, Conservative, Medicine Hat—Cardston—Warner, Alberta, 
Murray, Hon. Joyce, joyce.murray@parl.gc.ca, Liberal, Vancouver Quadra, British Columbia, 
Muys, Dan, dan.muys@parl.gc.ca, Conservative, Flamborough—Glanbrook, Ontario, 
Naqvi, Yasir, yasir.naqvi@parl.gc.ca, Liberal, Ottawa Centre, Ontario, 
Nater, John, john.nater@parl.gc.ca, Conservative, Perth—Wellington, Ontario, 
Ng, Hon. Mary, mary.ng@parl.gc.ca, Liberal, Markham—Thornhill, Ontario, 
Noormohamed, Taleeb, taleeb.noormohamed@parl.gc.ca, Liberal, Vancouver Granville, British Columbia, 
Normandin, Christine, Christine.Normandin@parl.gc.ca, Bloc Québécois, Saint-Jean, Quebec, 
O'Connell, Jennifer, jennifer.oconnell@parl.gc.ca, Liberal, Pickering—Uxbridge, Ontario, 
Oliphant, Hon. Robert, rob.oliphant@parl.gc.ca, Liberal, Don Valley West, Ontario, 
O'Regan, Hon. Seamus, seamus.oregan@parl.gc.ca, Liberal, St. John's South—Mount Pearl, Newfoundland and Labrador, 
O'Toole, Hon. Erin, erin.otoole@parl.gc.ca, Conservative, Durham, Ontario, 
Patzer, Jeremy, Jeremy.Patzer@parl.gc.ca, Conservative, Cypress Hills—Grasslands, Saskatchewan, 
Paul-Hus, Pierre, Pierre.Paul-Hus@parl.gc.ca, Conservative, Charlesbourg—Haute-Saint-Charles, Quebec, 
Pauzé, Monique, monique.pauze@parl.gc.ca, Bloc Québécois, Repentigny, Quebec, 
Perkins, Rick, rick.perkins@parl.gc.ca, Conservative, South Shore—St. Margarets, Nova Scotia, 
Perron, Yves, Yves.Perron@parl.gc.ca, Bloc Québécois, Berthier—Maskinongé, Quebec, 
Petitpas Taylor, Hon. Ginette, ginette.petitpastaylor@parl.gc.ca, Liberal, Moncton—Riverview—Dieppe, New Brunswick, 
Plamondon, Louis, louis.plamondon@parl.gc.ca, Bloc Québécois, Bécancour—Nicolet—Saurel, Quebec, 
Poilievre, Hon. Pierre, pierre.poilievre@parl.gc.ca, Conservative, Carleton, Ontario, 
Powlowski, Marcus, Marcus.Powlowski@parl.gc.ca, Liberal, Thunder Bay—Rainy River, Ontario, 
Qualtrough, Hon. Carla, carla.qualtrough@parl.gc.ca, Liberal, Delta, British Columbia, 
Rayes, Alain, alain.rayes@parl.gc.ca, Independent, Richmond—Arthabaska, Quebec, 
Redekopp, Brad, Brad.Redekopp@parl.gc.ca, Conservative, Saskatoon West, Saskatchewan, 
Reid, Scott, scott.reid@parl.gc.ca, Conservative, Lanark—Frontenac—Kingston, Ontario, 
Rempel Garner, Hon. Michelle, michelle.rempel@parl.gc.ca, Conservative, Calgary Nose Hill, Alberta, 
Richards, Blake, blake.richards@parl.gc.ca, Conservative, Banff—Airdrie, Alberta, 
Roberts, Anna, anna.roberts@parl.gc.ca, Conservative, King—Vaughan, Ontario, 
Robillard, Yves, Yves.Robillard@parl.gc.ca, Liberal, Marc-Aurèle-Fortin, Quebec, 
Rodriguez, Hon. Pablo, pablo.rodriguez@parl.gc.ca, Liberal, Honoré-Mercier, Quebec, 
Rogers, Churence, Churence.Rogers@parl.gc.ca, Liberal, Bonavista—Burin—Trinity, Newfoundland and Labrador, 
Romanado, Sherry, sherry.romanado@parl.gc.ca, Liberal, Longueuil—Charles-LeMoyne, Quebec, 
Rood, Lianne, Lianne.Rood@parl.gc.ca, Conservative, Lambton—Kent—Middlesex, Ontario, 
Rota, Hon. Anthony, anthony.rota@parl.gc.ca, Liberal, Nipissing—Timiskaming, Ontario, 
Ruff, Alex, Alex.Ruff@parl.gc.ca, Conservative, Bruce—Grey—Owen Sound, Ontario, 
Sahota, Ruby, ruby.sahota@parl.gc.ca, Liberal, Brampton North, Ontario, 
Sajjan, Hon. Harjit S., harjit.sajjan@parl.gc.ca, Liberal, Vancouver South, British Columbia, 
